parola,doc_freq_umano,doc_freq_macchina,delta
shares,0.03003003003003003,0.020920920920920922,-0.009109109109109108
being,0.14344344344344345,0.13443443443443442,-0.009009009009009028
pay,0.1011011011011011,0.0920920920920921,-0.009009009009009
rest,0.03013013013013013,0.02122122122122122,-0.00890890890890891
coming,0.02042042042042042,0.011511511511511512,-0.008908908908908907
thought,0.026126126126126126,0.017317317317317317,-0.00880880880880881
about,0.23713713713713713,0.22832832832832833,-0.008808808808808799
original,0.024824824824824825,0.016116116116116116,-0.008708708708708709
light,0.04494494494494494,0.03623623623623624,-0.008708708708708705
someone,0.07867867867867868,0.07007007007007007,-0.008608608608608612
difference,0.04154154154154154,0.03303303303303303,-0.008508508508508511
u,0.022122122122122122,0.013613613613613613,-0.00850850850850851
benefit,0.02042042042042042,0.012012012012012012,-0.008408408408408407
stop,0.036036036036036036,0.02762762762762763,-0.008408408408408407
completely,0.02902902902902903,0.02072072072072072,-0.00830830830830831
themselves,0.036136136136136136,0.027827827827827827,-0.00830830830830831
both,0.08978978978978978,0.08158158158158157,-0.00820820820820821
check,0.03113113113113113,0.023223223223223222,-0.007907907907907907
figure,0.02242242242242242,0.014614614614614614,-0.007807807807807807
rate,0.05435435435435435,0.046546546546546545,-0.007807807807807807
happen,0.038138138138138135,0.03043043043043043,-0.007707707707707706
behind,0.02312312312312312,0.015515515515515516,-0.0076076076076076055
position,0.025525525525525526,0.018018018018018018,-0.007507507507507508
sounds,0.021721721721721723,0.014314314314314314,-0.007407407407407409
seen,0.02872872872872873,0.02132132132132132,-0.007407407407407408
finance,0.02192192192192192,0.014614614614614614,-0.007307307307307307
act,0.023823823823823823,0.016616616616616616,-0.0072072072072072065
buying,0.028628628628628628,0.02142142142142142,-0.0072072072072072065
fall,0.022222222222222223,0.015115115115115116,-0.0071071071071071076
trade,0.02922922922922923,0.022222222222222223,-0.007007007007007005
meaning,0.025625625625625627,0.01871871871871872,-0.006906906906906908
banks,0.02192192192192192,0.015015015015015015,-0.006906906906906906
issue,0.02962962962962963,0.022922922922922924,-0.006706706706706707
car,0.04344344344344345,0.03673673673673674,-0.006706706706706707
war,0.022622622622622622,0.016016016016016016,-0.006606606606606606
long,0.11611611611611612,0.10960960960960961,-0.0065065065065065125
turn,0.03043043043043043,0.024124124124124124,-0.006306306306306304
normal,0.03663663663663664,0.03053053053053053,-0.00610610610610611
force,0.026726726726726727,0.02062062062062062,-0.006106106106106107
over,0.14724724724724725,0.14114114114114115,-0.006106106106106096
open,0.03313313313313313,0.027127127127127126,-0.006006006006006006
true,0.036036036036036036,0.03013013013013013,-0.005905905905905905
hard,0.05735735735735736,0.05155155155155155,-0.005805805805805808
places,0.022222222222222223,0.016416416416416415,-0.005805805805805808
more,0.3891891891891892,0.3834834834834835,-0.0057057057057057214
large,0.07587587587587588,0.07017017017017017,-0.0057057057057057076
pressure,0.02762762762762763,0.02192192192192192,-0.0057057057057057076
blood,0.03403403403403404,0.028428428428428427,-0.00560560560560561
term,0.05325325325325325,0.047647647647647645,-0.005605605605605607
found,0.034934934934934936,0.02942942942942943,-0.005505505505505506
compared,0.02052052052052052,0.015015015015015015,-0.005505505505505505
current,0.04144144144144144,0.036136136136136136,-0.005305305305305305
pass,0.02002002002002002,0.014814814814814815,-0.0052052052052052045
needed,0.03063063063063063,0.025825825825825825,-0.0048048048048048055
seem,0.024724724724724725,0.01991991991991992,-0.0048048048048048055
charge,0.02762762762762763,0.022822822822822823,-0.0048048048048048055
law,0.03183183183183183,0.02702702702702703,-0.004804804804804802
speed,0.026926926926926928,0.022222222222222223,-0.004704704704704705
break,0.023323323323323323,0.01871871871871872,-0.004604604604604604
family,0.022222222222222223,0.01761761761761762,-0.004604604604604604
within,0.037237237237237236,0.03283283283283283,-0.0044044044044044064
amounts,0.02032032032032032,0.015915915915915915,-0.0044044044044044064
water,0.05945945945945946,0.05515515515515516,-0.004304304304304306
self,0.02182182182182182,0.017717717717717716,-0.004104104104104105
everyone,0.04144144144144144,0.03743743743743744,-0.004004004004004004
show,0.03953953953953954,0.03553553553553553,-0.004004004004004004
move,0.04804804804804805,0.044144144144144144,-0.0039039039039039033
life,0.05045045045045045,0.046646646646646646,-0.0038038038038038027
sell,0.05115115115115115,0.04734734734734735,-0.0038038038038038027
tax,0.052452452452452454,0.048848848848848846,-0.0036036036036036084
method,0.02012012012012012,0.016516516516516516,-0.003603603603603605
form,0.05755755755755756,0.053953953953953956,-0.0036036036036036015
limit,0.02002002002002002,0.016516516516516516,-0.0035035035035035043
home,0.03623623623623624,0.032732732732732736,-0.003503503503503501
change,0.05995995995995996,0.05665665665665666,-0.0033033033033032996
loss,0.02772772772772773,0.024624624624624624,-0.0031031031031031053
costs,0.03083083083083083,0.02772772772772773,-0.003103103103103102
against,0.051451451451451455,0.04844844844844845,-0.0030030030030030047
gain,0.02142142142142142,0.018518518518518517,-0.002902902902902904
send,0.02142142142142142,0.018518518518518517,-0.002902902902902904
each,0.12122122122122123,0.11841841841841842,-0.0028028028028028035
knowledge,0.02042042042042042,0.017717717717717716,-0.002702702702702703
function,0.02812812812812813,0.025425425425425426,-0.002702702702702703
sound,0.027127127127127126,0.024424424424424423,-0.002702702702702703
